id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,id_player,GK,S,M,D,F
1274_14-15_seriea,Andrea Rispoli,29,1686,0,1.2210954893380404,2,3.131597246043384,24,22,5,0,D M S,"Palermo,Parma",0,1.2210954893380404,6.069259379059076,4.149587600491942,1274,0,1,1,1,0
1285_14-15_seriea,Gianluigi Buffon,33,2970,0,0.0,0,0.0,0,0,0,0,GK,Juventus,0,0.0,4.51677131280303,4.51677131280303,1285,1,0,0,0,0
1286_14-15_seriea,Andrea Barzagli,10,770,0,0.0,0,0.04886873811483383,0,2,2,0,D S,Juventus,0,0.0,2.046376209706068,2.046376209706068,1286,0,1,0,1,0
1297_14-15_seriea,Neto,29,2610,0,0.0,0,0.14558996632695198,0,2,4,0,GK,Fiorentina,0,0.0,2.972917216829956,2.870547561906278,1297,1,0,0,0,0
1305_14-15_seriea,Lukasz Skorupski,3,270,0,0.0,0,0.0,0,0,0,0,GK,Roma,0,0.0,0.365401603281498,0.365401603281498,1305,1,0,0,0,0
1306_14-15_seriea,Vincent Laurini,15,1078,0,0.04996049404144287,0,0.060421737842261784,2,2,1,0,D S,Empoli,0,0.04996049404144287,1.1691309418529272,1.0587487081065774,1306,0,1,0,1,0
1324_14-15_seriea,Federico Dimarco,1,1,0,0.0,0,0.0,0,0,0,0,S,Inter,0,0.0,0.0,0.0,1324,0,1,0,0,0
1328_14-15_seriea,Stefano Sorrentino,35,3150,0,0.0,0,0.0,0,0,1,0,GK,Palermo,0,0.0,1.3214323772117496,1.3214323772117496,1328,1,0,0,0,0
1329_14-15_seriea,Fabrizio Cacciatore,11,724,0,0.24771326035261154,0,0.26407206058502203,4,5,0,1,D S,Sampdoria,0,0.24771326035261154,1.2067516585811973,1.1286860397085547,1329,0,1,0,1,0
1330_14-15_seriea,Alessandro Gamberini,20,1401,0,0.4064572341740131,0,0.11868031695485115,6,2,2,0,D S,Chievo,0,0.4064572341740131,1.155317310243845,1.101653978228569,1330,0,1,0,1,0
1331_14-15_seriea,Dario Dainelli,30,2451,0,0.4260335434228182,0,0.2648583455011249,8,8,8,0,D S,Chievo,0,0.4260335434228182,2.8859018106013536,2.724357317201793,1331,0,1,0,1,0
1332_14-15_seriea,Massimo Gobbi,33,2743,0,0.965288896113634,2,2.732817261479795,12,27,10,0,D M S,Parma,0,0.965288896113634,5.859527944587171,3.2056541945785284,1332,0,1,1,1,0
1334_14-15_seriea,Perparim Hetemaj,32,2635,0,0.7110806759446859,1,1.2281984724104404,25,25,10,0,M S,Chievo,0,0.7110806759446859,7.0300235487520695,5.590890397317708,1334,0,1,1,0,0
1336_14-15_seriea,Valter Birsa,35,2313,0,1.3495364170521498,1,5.188707489520311,35,66,4,0,F M S,Chievo,0,1.3495364170521498,6.6692859549075365,3.812633519992232,1336,0,1,1,0,1
1342_14-15_seriea,Nicolás Spolli,1,90,0,0.0,0,0.0,0,0,0,0,D,Roma,0,0.0,0.3280868828296661,0.3280868828296661,1342,0,0,0,1,0
1344_14-15_seriea,Nicolas Frey,31,2647,0,0.053030570968985564,1,0.8836935888975859,2,17,6,0,D,Chievo,0,0.053030570968985564,4.490553330630063,3.6762347612529993,1344,0,0,0,1,0
1346_14-15_seriea,Gennaro Sardo,9,516,0,0.04361023008823395,0,0.03686082828789949,1,2,1,0,D S,Chievo,0,0.04361023008823395,0.6275084232911468,0.5470373686403036,1346,0,1,0,1,0
1352_14-15_seriea,Aleandro Rosi,11,540,0,0.32709411159157753,0,0.124813050031662,6,3,1,0,D M S,"Fiorentina,Genoa",0,0.32709411159157753,0.94323736615479,0.5361514538526535,1352,0,1,1,1,0
1356_14-15_seriea,Lorenzo Crisetig,28,2234,0,0.3242994314059615,1,1.0368886003270743,11,20,8,0,M S,Cagliari,0,0.3242994314059615,6.781792255118488,6.362069279886782,1356,0,1,1,0,0
1365_14-15_seriea,Djamel Mesbah,16,1155,0,1.1838367637246847,0,0.1963953729718924,14,5,2,0,D S,Sampdoria,0,1.1838367637246847,2.6957797072827816,1.5307702496647837,1365,0,1,0,1,0
1375_14-15_seriea,Elseid Hysaj,36,3017,0,0.13431035820394754,2,0.9324082494713366,8,12,4,0,D S,Empoli,0,0.13431035820394754,10.318016840144992,9.725239984691145,1375,0,1,0,1,0
1377_14-15_seriea,Nikola Maksimovic,27,2404,0,0.1419002916663885,3,2.793942033313215,3,27,4,0,D,Torino,0,0.1419002916663885,8.451949771493673,7.217243667691946,1377,0,0,0,1,0
1378_14-15_seriea,Ivan Strinic,9,807,0,0.06983353849500418,2,0.19796796515583992,2,3,1,0,D,Napoli,0,0.06983353849500418,2.8438047766685486,2.63304603099823,1378,0,0,0,1,0
1386_14-15_seriea,Piotr Zielinski,28,1020,0,1.988598176278174,2,1.944728821516037,32,19,3,0,M S,Empoli,0,1.988598176278174,6.0971355121582755,2.854546206071973,1386,0,1,1,0,0
1387_14-15_seriea,Faouzi Ghoulam,21,1759,0,0.6378511348739266,2,2.6551418723538522,18,24,6,1,D M S,Napoli,0,0.6378511348739266,11.333742182701824,9.04891470912844,1387,0,1,1,1,0
1388_14-15_seriea,Rafael Cabral,23,2070,0,0.0,0,0.0,0,0,0,0,GK,Napoli,0,0.0,2.424049618653953,2.424049618653953,1388,1,0,0,0,0
1389_14-15_seriea,Jorginho,23,1278,0,0.2535485867410898,0,1.1994343148544429,8,21,5,0,M S,Napoli,0,0.2535485867410898,5.915071150287986,4.868702583014965,1389,0,1,1,0,0
1391_14-15_seriea,Christian Maggio,29,2581,0,0.6178968027234077,2,2.0072650844231252,12,20,7,1,D,Napoli,0,0.6178968027234077,8.589275849983096,6.747547127306461,1391,0,0,0,1,0
1392_14-15_seriea,Luigi Sepe,31,2790,0,0.0,0,0.0,0,0,0,0,GK,Empoli,0,0.0,0.9052369240671396,0.9052369240671396,1392,1,0,0,0,0
1396_14-15_seriea,Marco Storari,5,450,0,0.0,0,0.0,0,0,0,0,GK,Juventus,0,0.0,0.21791395358741286,0.21791395358741286,1396,1,0,0,0,0
1400_14-15_seriea,Nicola Murru,8,562,0,0.1177918091416359,0,0.3968729674816132,4,5,2,1,D S,Cagliari,0,0.1177918091416359,0.9885618016123772,0.6582584157586098,1400,0,1,0,1,0
1403_14-15_seriea,Simone Padoin,25,1336,0,0.2665321920067072,4,1.7744454629719255,8,19,2,1,D M S,Juventus,0,0.2665321920067072,5.257068675011396,4.523040484637021,1403,0,1,1,1,0
1405_14-15_seriea,Marco Borriello,8,255,0,0.3224558606743813,2,1.227758839726448,5,6,1,0,F S,Genoa,0,0.3224558606743813,1.8577541634440424,0.4245818182826042,1405,0,1,0,0,1
1408_14-15_seriea,Marco Capuano,15,1123,0,0.08661556988954544,0,0.0615429375320673,1,3,2,0,D S,Cagliari,0,0.08661556988954544,2.765579342842102,2.742896620184183,1408,0,1,0,1,0
1409_14-15_seriea,Nicolò Barella,3,129,0,0.10622458532452583,0,0.1207711026072502,2,1,1,0,M S,Cagliari,0,0.10622458532452583,1.1256687939167025,0.8986730873584747,1409,0,1,1,0,0
1410_14-15_seriea,Rafael,20,1727,0,0.0,0,0.02325150929391384,0,1,1,1,GK,Verona,0,0.0,0.9452329725027084,0.9219814985990524,1410,1,0,0,0,0
1416_14-15_seriea,Ciprian Tatarusanu,9,810,0,0.0,0,0.0,0,0,0,0,GK,Fiorentina,0,0.0,0.9056793376803398,0.9056793376803398,1416,1,0,0,0,0
1458_14-15_seriea,Ibrahima Mbaye,4,88,0,0.14220583252608776,0,0.0,4,0,0,0,S,Inter,0,0.14220583252608776,0.20609226450324056,0.12150941044092177,1458,0,1,0,0,0
1460_14-15_seriea,Andrea Consigli,35,3126,0,0.0,0,0.0,0,0,2,1,GK,Sassuolo,0,0.0,2.3043734608218074,2.3043734608218074,1460,1,0,0,0,0
1462_14-15_seriea,Paolo Cannavaro,25,2101,0,0.6879257084801793,0,0.5360169801861048,11,7,8,1,D,Sassuolo,0,0.6879257084801793,2.8738869028165936,1.9458746882155535,1462,0,0,0,1,0
1464_14-15_seriea,Federico Peluso,28,2338,0,0.3051988463848829,1,1.3882791032083333,7,12,5,2,D S,Sassuolo,0,0.3051988463848829,4.983638383448124,3.9502782858908176,1464,0,1,0,1,0
1467_14-15_seriea,Davide Biondini,28,1726,0,0.09660151787102222,0,1.3451761221513152,4,18,3,0,M S,Sassuolo,0,0.09660151787102222,4.079400409013033,2.7672892892733216,1467,0,1,1,0,0
1471_14-15_seriea,Lorenzo Pellegrini,1,23,0,0.01591259054839611,0,0.0,1,0,0,0,S,Roma,0,0.01591259054839611,0.08809734880924225,0.08809734880924225,1471,0,1,0,0,0
1478_14-15_seriea,Marcello Gazzola,18,1456,0,0.02014777995646,0,0.8799393717199564,1,12,4,0,D S,Sassuolo,0,0.02014777995646,2.714674773626029,2.1517683006823063,1478,0,1,0,1,0
1479_14-15_seriea,Alberto Pomini,4,292,0,0.0,0,0.0,0,0,0,0,GK S,Sassuolo,0,0.0,0.27139103785157204,0.27139103785157204,1479,1,1,0,0,0
1481_14-15_seriea,Antonino Ragusa,1,16,0,0.0,0,0.0,0,0,1,0,S,Genoa,0,0.0,0.0,0.0,1481,0,1,0,0,0
1482_14-15_seriea,Luca Antei,8,513,0,0.22230906784534452,0,0.06670474261045456,2,1,2,0,D S,Sassuolo,0,0.22230906784534452,0.6165530979633331,0.5498483777046204,1482,0,1,0,1,0
1483_14-15_seriea,Etrit Berisha,10,807,0,0.0,0,0.0,0,0,0,0,GK S,Lazio,0,0.0,1.2443761751055715,1.2443761751055715,1483,1,1,0,0,0
